name,author,intro
简约至上：交互式设计四策略（第2版）,李松峰,本书介绍交互式设计的技术与技巧，讲述如何从目标用户的需求和期望出发，结合人类本身的心理特征和行为特点，用简单的...

统计学七支柱,"

Stephen M. Stigler                    ?

            ",本书介绍了统计学的七个基本思想——聚合、信息、似然、相互比较、回归、设计、残差，从其由来到引入，从基本概念到对...

FPS关卡设计,武传海,本书介绍了游戏开发所需的关卡设计概念及必要性，给出了增加游戏趣味性的思考和技巧；同时，重点围绕 FPS 领域的...

单核工作法图解：事多到事少，拖延变高效,大胖,本书的主题是管理时间，战胜拖延。作者通过自身多年的经验，首创了一套简单、灵活而又强大的单核工作法，能行之有效地...

人工智能简史,"

尼克                    ?

            ",本书全面讲述人工智能的发展史，几乎覆盖人工智能学科的所有领域，包括人工智能的起源、自动定理证明、专家系统、神经...

零基础学 Excel VBA,连彬彬,"Excel表格公式能解决的问题，用VBA也能解决，而且更简单！

Excel表格公式不能解决的问题，VBA也能..."

科学也反常：“科学咖啡馆”怪谈,"

“科学咖啡馆”（Café des Sciences）                    ?

            ",本书汇集了法国科普网站“科学咖啡馆”中广受欢迎的趣味小品文，用幽默的文字和丰富的图画讲述了动物学、生物学、脑科...

Python机器学习经典实例,陶俊杰,在如今这个处处以数据驱动的世界中，机器学习正变得越来越大众化。它已经被广泛地应用于不同领域，如搜索引擎、机器人...

编程日历2018,,程序员专属编程周历...

Kafka权威指南,"

Neha Narkhede，Gwen Shapira，Todd Palino                    ?

            ",本书是关于Kafka的全面教程，主要内容包括：Kafka相对于其他消息队列系统的优点，主要是它如何完美匹配大数...

我的世界少儿趣味编程,"

Tech Kids School                    ?

株式会社CADEC                    ?

            ",本书使用在世界范围内拥有超多玩家的游戏《我的世界》（Minecraft）作为主线，让孩子在游戏的过程中体验编程...

Python数据科学入门,"

Dmitry Zinoviev                    ?

            ",本书以Python语言讲述数据科学基础知识，涵盖了数据采集、清洗、存储、检索、转换、可视化、高级数据分析（网络...

Web开发权威指南,"

Chris Aquino, Todd Gandee                    ?

            ",本书在知名培训机构Big Nerd Ranch培训教材的基础上编写而成，囊括了JavaScript、HTML5...

JavaScript测试驱动开发,毛姝雯,JavaScript已经成为使用最广泛的语言之一，它强大且高度灵活，但同时也颇具风险，所以应该用更出色的开发实...

明解C语言：中级篇,"

[日]柴田望洋                    ?

            ",《明解C语言：中级篇》延续了《明解C语言：入门篇》图文并茂、示例丰富、讲解细致的风格，在结构上又独树一帜，通过...

和孩子一起玩编程,,本书分成书和卡片两部分，卡片相当于书的图片版，是供不能独立阅读本书的孩子使用的，使用方式是家长看书来讲解，孩子...

Hadoop数据分析,"

Benjamin Bengfort                    ?

Jenny Kim                    ?

            ",通过提供分布式数据存储和并行计算框架，Hadoop已经从一个集群计算的抽象演化成了一个大数据的操作系统。本书旨...

数学思考法：解析直觉与谎言,"

[日]神永正博                    ?

孙庆媛                    ?

                译

            ",本书为讲解“数学思考法”的通俗科普读物，书中通过用数学思维解析实际生活案例、公众认知中的错误直觉、数学经典名题...

这样编码才规范：128个编码好习惯,才璐,本书通过16个主题，收录了优秀程序员应当遵守的128项基本编码准则，涉及初期设计、间隔、缩进、标识符名称、运算...

他们以为自己很厉害：12个企业管理陷阱,"

克里斯蒂娜·凯德朗                    ?

            ","本书讲述了震惊世界的150个企业管理失败案例，并从产品与服务定位、技术

创新、广告与营销策略、跨文化发展、融..."

人工智能的冲击：失去工作，还是不用工作？,"

小林雅一                    ?

            ",本书为人工智能技术、产业的通俗读本，书中以AI技术对个人、社会的冲击为焦点，结合欧美日人工智能产业的调查研究，...

从无穷开始：科学的困惑与疆界,"

让‐皮埃尔?卢米涅                    ?

马克?拉雪茨‐雷                    ?

            ",本书以生动的语言讲述了“无穷”的概念对科学研究和人类思想的重要推动作用，探讨了“无穷”在物理学、数学和天文学三...

